name,gender,age,ethnicity,emotion
3032.png,1,3,0,3
2304.png,0,3,1,4
2462.png,1,3,0,3
2310.png,1,4,3,3
1619.png,0,4,0,3
1396.png,0,4,1,3
602.png,0,4,3,3
164.png,1,4,3,3
170.png,0,4,3,3
2853.png,0,4,3,3
616.png,1,4,1,3
1382.png,1,4,3,3
158.png,0,4,3,3
2884.png,0,4,3,3
819.png,1,4,1,4
1355.png,1,2,1,3
3224.png,0,4,0,3
3230.png,0,4,2,3
1427.png,1,3,2,3
1341.png,0,4,3,3
825.png,1,3,0,3
1369.png,1,3,3,3
3218.png,0,4,3,3
2106.png,1,3,0,3
2112.png,1,4,3,3
776.png,0,3,1,3
2933.png,0,4,3,3
1584.png,1,4,0,3
2099.png,0,4,3,3
992.png,1,3,3,3
986.png,0,4,1,3
1221.png,0,5,3,3
1547.png,1,4,1,3
1235.png,0,3,0,3
789.png,0,4,0,3
951.png,1,4,1,3
2072.png,0,4,0,3
2066.png,1,4,0,3
945.png,0,4,0,3
212.png,1,3,0,3
1786.png,0,5,1,2
3191.png,0,4,0,3
574.png,0,4,0,3
560.png,0,2,3,3
3185.png,0,4,3,3
1792.png,1,4,0,3
206.png,1,4,3,3
1962.png,1,4,0,3
1976.png,0,4,2,3
3152.png,0,4,0,3
1745.png,0,2,1,3
1023.png,0,4,3,3
3146.png,0,4,0,4
2258.png,1,4,0,3
1779.png,1,3,0,3
2270.png,1,2,0,3
2516.png,0,4,3,3
2264.png,0,4,2,3
2503.png,1,4,3,3
2265.png,1,4,0,3
2517.png,0,4,1,2
1036.png,1,4,3,3
2259.png,1,3,0,3
3147.png,0,0,0,4
1750.png,0,4,0,2
1744.png,0,2,0,3
3153.png,0,4,1,4
1022.png,0,4,1,4
1977.png,0,3,0,3
1963.png,0,4,0,2
549.png,0,4,3,3
561.png,0,4,1,3
207.png,0,2,3,3
1793.png,0,3,0,3
3184.png,0,4,3,2
3190.png,0,5,1,3
213.png,0,4,1,2
575.png,1,4,0,3
944.png,1,2,1,0
1208.png,0,4,1,3
2715.png,0,4,3,4
950.png,1,4,0,3
788.png,1,4,1,3
1552.png,1,3,0,3
978.png,0,4,3,3
1234.png,0,4,1,3
1220.png,1,3,2,3
1546.png,0,4,0,3
987.png,1,4,0,3
2098.png,0,3,0,3
1591.png,1,3,0,3
777.png,0,3,0,3
2113.png,1,4,0,3
70.png,0,4,3,3
830.png,1,3,0,3
1368.png,1,1,0,3
824.png,0,5,1,0
2107.png,1,4,3,3
3219.png,1,0,1,2
1426.png,1,5,0,3
3231.png,0,3,3,3
1340.png,1,4,0,3
58.png,0,0,1,2
1354.png,1,3,0,3
818.png,1,4,2,3
3225.png,0,4,1,3
1432.png,1,4,0,3
159.png,0,3,0,4
171.png,1,4,0,3
1383.png,1,1,0,3
2852.png,0,5,3,3
603.png,1,5,0,3
165.png,1,4,0,3
2477.png,0,5,3,3
1618.png,1,2,1,3
2311.png,0,4,1,4
2305.png,0,2,0,3
398.png,1,4,0,3
1142.png,1,4,0,3
3033.png,0,3,1,3
1624.png,0,2,0,2
1630.png,1,3,0,3
3027.png,0,4,1,5
2339.png,1,4,0,3
429.png,0,4,3,3
1803.png,0,4,0,3
1817.png,0,4,2,3
1181.png,1,2,0,3
373.png,1,4,0,3
1195.png,0,3,0,3
401.png,1,4,1,3
371.png,0,3,0,3
1183.png,1,2,1,3
417.png,0,4,3,3
1197.png,1,1,0,3
1829.png,1,4,0,3
1801.png,1,4,0,3
359.png,0,4,1,3
1815.png,1,2,0,3
1626.png,0,3,0,3
3031.png,0,4,3,3
1140.png,1,2,0,2
1154.png,0,4,1,3
3025.png,0,4,3,3
1632.png,1,4,1,3
2475.png,0,4,0,2
2461.png,0,2,2,3
2307.png,1,4,0,4
3019.png,0,4,0,3
2688.png,0,4,3,4
173.png,0,4,3,3
601.png,1,3,0,3
99.png,0,4,3,3
629.png,1,1,0,2
3233.png,0,4,2,4
1424.png,0,4,0,3
3227.png,0,4,3,3
8.png,0,4,1,5
2139.png,1,4,3,3
2887.png,0,5,1,4
1356.png,1,4,1,3
2677.png,1,1,2,3
2111.png,1,2,0,3
198.png,0,4,3,3
2924.png,0,4,3,4
761.png,0,4,3,3
1593.png,0,3,3,3
1587.png,0,4,1,2
775.png,1,4,0,3
2930.png,1,4,0,3
985.png,1,3,0,3
1236.png,1,3,2,3
1550.png,1,4,0,3
1544.png,1,3,3,3
1222.png,1,2,0,3
946.png,0,4,1,3
2065.png,1,4,0,3
1578.png,1,4,0,3
2298.png,0,4,3,3
3186.png,0,4,1,0
1949.png,0,4,3,3
563.png,1,3,3,3
577.png,1,5,0,3
211.png,1,3,0,3
1785.png,0,4,3,3
3192.png,0,3,1,4
1975.png,1,6,0,3
1752.png,0,4,3,3
3145.png,0,4,3,3
1034.png,1,3,0,3
1020.png,1,1,0,3
2529.png,0,2,1,0
3151.png,0,4,3,3
1746.png,0,4,0,3
3179.png,0,4,3,3
2267.png,0,4,3,3
1008.png,1,4,0,3
2501.png,1,4,0,3
2515.png,0,4,0,3
588.png,1,2,1,3
2273.png,0,5,1,3
589.png,0,5,0,3
2272.png,0,4,0,3
2266.png,0,1,1,4
3178.png,0,4,3,3
2500.png,1,4,0,2
1009.png,0,3,3,3
2528.png,1,4,0,3
1021.png,1,4,3,3
1747.png,0,4,3,4
3150.png,0,4,0,4
3144.png,0,4,3,3
1753.png,0,4,0,3
1960.png,0,4,3,3
238.png,0,5,1,3
576.png,0,4,3,3
3193.png,0,4,3,4
1784.png,1,4,0,3
210.png,0,4,3,3
204.png,0,3,3,3
3187.png,0,4,0,0
2299.png,1,4,3,3
562.png,1,4,1,2
2716.png,0,3,0,3
2702.png,0,4,3,3
2064.png,0,4,3,3
1545.png,0,4,3,3
1223.png,0,4,0,3
1237.png,1,2,0,4
1551.png,1,4,3,3
990.png,0,4,0,3
1586.png,1,1,3,3
760.png,1,4,0,3
2925.png,0,4,0,3
1592.png,0,4,3,3
199.png,0,1,3,3
2104.png,1,4,3,3
2662.png,0,4,0,2
67.png,0,4,3,3
827.png,0,4,0,3
2110.png,1,4,3,3
3226.png,0,4,3,3
1431.png,0,3,0,3
1357.png,0,4,3,3
1343.png,1,4,0,3
1425.png,0,4,0,3
3232.png,0,4,0,3
628.png,0,5,1,3
166.png,0,4,0,3
600.png,1,5,3,3
1394.png,0,5,0,3
1380.png,0,3,0,4
614.png,0,3,1,3
2851.png,0,4,3,3
172.png,1,3,0,3
1169.png,1,4,0,3
3018.png,0,5,1,5
1155.png,1,0,0,3
1633.png,0,4,3,3
3024.png,0,4,1,2
3030.png,0,4,3,3
1627.png,1,4,1,3
2448.png,0,4,1,3
1800.png,0,4,1,4
1196.png,1,4,0,3
402.png,0,4,0,3
1828.png,1,3,3,3
416.png,0,3,3,3
1182.png,0,4,2,3
1867.png,1,3,0,3
1873.png,1,2,0,4
1683.png,1,4,0,3
317.png,1,4,0,3
3094.png,0,5,3,3
3080.png,0,4,2,3
303.png,0,4,1,3
2413.png,0,4,0,3
2407.png,1,2,3,3
2361.png,1,3,3,4
2349.png,1,4,3,3
3057.png,0,3,3,3
1898.png,0,2,1,2
1132.png,0,4,0,3
3043.png,0,4,0,3
897.png,0,5,0,3
883.png,0,4,0,2
673.png,0,4,1,3
2836.png,0,5,3,3
2188.png,1,4,1,4
3296.png,0,4,0,3
1481.png,1,4,0,3
1495.png,0,4,0,3
3282.png,0,4,1,3
667.png,0,5,1,4
854.png,0,4,1,3
1318.png,1,3,0,3
3269.png,1,3,1,3
2177.png,1,4,0,3
2163.png,1,2,0,3
2605.png,0,3,0,4
840.png,1,2,1,3
698.png,1,1,0,3
868.png,0,4,0,3
1324.png,0,2,1,2
1442.png,1,3,1,3
3241.png,0,3,1,2
707.png,0,4,1,3
1293.png,1,3,1,4
2942.png,0,5,3,3
1287.png,1,4,3,3
920.png,0,2,0,5
2003.png,1,4,3,3
2017.png,1,4,0,3
3309.png,0,3,0,4
2771.png,0,3,0,3
934.png,0,3,0,3
2981.png,0,4,1,3
2759.png,0,4,3,3
1250.png,0,4,0,3
3321.png,0,4,3,4
1244.png,1,5,1,3
2995.png,0,5,0,3
1913.png,1,4,1,3
539.png,1,0,1,3
1907.png,0,0,1,2
263.png,1,4,3,3
505.png,1,3,0,3
511.png,0,5,0,3
1085.png,0,4,3,3
277.png,1,3,0,3
1708.png,0,4,3,5
2201.png,1,3,2,3
2573.png,1,3,0,3
288.png,1,0,0,4
3123.png,0,3,3,3
1734.png,1,4,0,3
1052.png,1,2,1,3
1720.png,0,1,2,3
3137.png,1,5,0,2
2229.png,1,3,0,3
1047.png,0,3,1,3
3136.png,0,3,0,3
1721.png,0,4,3,3
3122.png,0,4,0,3
1053.png,0,4,3,3
2214.png,1,3,3,3
2200.png,1,3,0,4
1709.png,0,3,3,3
276.png,1,4,0,3
262.png,0,2,1,6
504.png,1,4,3,3
1090.png,0,4,0,3
1906.png,0,4,0,3
1912.png,0,4,3,3
538.png,0,4,0,3
1523.png,0,4,3,3
2994.png,0,3,3,3
909.png,1,6,3,3
1245.png,0,2,0,3
1251.png,1,3,0,3
2980.png,0,4,3,3
3320.png,0,4,1,3
1537.png,1,3,0,3
3308.png,0,2,3,3
935.png,0,5,1,3
1279.png,1,2,0,3
2770.png,0,3,1,3
712.png,1,4,3,3
1286.png,1,3,0,3
706.png,1,4,0,3
1457.png,0,5,0,5
3240.png,0,3,3,3
1331.png,1,3,0,4
1325.png,0,4,2,3
29.png,0,5,1,3
869.png,1,4,0,3
1443.png,0,0,1,2
699.png,0,2,3,3
3268.png,0,4,0,0
3283.png,0,6,0,3
1494.png,1,4,0,3
666.png,0,3,3,3
2823.png,0,4,1,3
3297.png,0,5,0,5
2189.png,0,4,0,3
882.png,1,4,0,3
1133.png,1,3,0,3
3042.png,0,4,0,3
1655.png,0,3,0,3
1899.png,1,5,1,3
3056.png,0,4,1,3
1127.png,0,4,1,2
1669.png,0,2,1,3
2360.png,1,2,0,3
2374.png,1,4,0,3
2412.png,0,0,1,2
464.png,0,2,2,4
302.png,0,4,3,3
3081.png,0,4,0,3
3095.png,0,4,3,3
316.png,1,3,3,3
1682.png,1,4,0,3
470.png,1,4,0,3
458.png,1,5,1,3
1872.png,0,4,3,3
1866.png,0,4,1,2
1864.png,1,4,3,3
3083.png,0,2,2,3
300.png,0,4,1,3
466.png,0,4,3,3
472.png,0,4,3,3
1680.png,0,4,0,3
314.png,0,4,2,3
1858.png,1,3,3,3
3097.png,0,4,1,3
2389.png,0,4,1,3
2362.png,0,4,3,3
499.png,1,3,0,3
2404.png,0,4,3,5
1119.png,1,4,0,3
2376.png,0,5,0,2
3068.png,0,5,3,3
1657.png,0,4,3,3
3040.png,0,4,0,3
2438.png,1,5,0,3
1131.png,0,4,0,5
1125.png,0,4,3,4
3054.png,0,4,2,3
658.png,0,0,0,6
880.png,0,4,0,3
894.png,0,4,1,2
2821.png,0,4,2,3
664.png,1,1,0,3
1496.png,0,1,0,3
102.png,0,1,1,3
3281.png,0,4,0,3
3295.png,0,3,0,3
1482.png,0,4,0,3
670.png,1,1,0,3
843.png,0,4,0,5
2174.png,1,2,1,3
857.png,0,4,3,3
17.png,0,4,1,2
3242.png,0,4,0,3
1441.png,1,4,3,3
2148.png,0,4,3,3
2969.png,0,5,1,3
738.png,0,4,1,3
710.png,0,4,3,3
704.png,1,4,1,3
2000.png,0,4,0,3
1509.png,1,3,0,3
923.png,1,4,1,3
1247.png,1,4,1,3
1521.png,0,3,3,3
3322.png,1,1,0,3
248.png,0,4,2,3
1910.png,0,5,0,4
1086.png,1,3,1,3
1092.png,0,4,1,2
506.png,0,5,3,4
3108.png,0,2,3,4
2216.png,1,4,0,3
2564.png,0,4,3,3
2202.png,1,4,0,4
1723.png,0,2,0,5
3134.png,0,0,1,3
1045.png,1,5,0,3
1051.png,1,4,3,3
2558.png,1,4,3,3
3120.png,1,4,1,2
1737.png,1,4,0,3
2559.png,0,4,0,3
1050.png,0,4,0,3
1736.png,0,2,1,2
3121.png,0,4,0,3
3135.png,0,4,0,3
1722.png,1,4,0,3
1044.png,1,3,0,3
2217.png,1,4,0,3
3109.png,0,4,0,3
1078.png,0,5,1,3
507.png,0,4,1,3
1093.png,1,3,0,3
261.png,0,4,0,3
275.png,0,4,3,3
1939.png,1,3,0,3
1087.png,0,5,0,3
513.png,1,3,0,4
249.png,1,4,3,4
1905.png,0,4,3,3
3323.png,0,3,3,3
1534.png,1,4,3,3
2983.png,0,5,3,0
1246.png,1,5,0,3
1520.png,0,1,0,3
922.png,0,3,3,3
2773.png,0,2,2,4
2015.png,0,4,3,3
1291.png,0,4,0,3
705.png,0,4,0,3
711.png,0,3,0,3
2954.png,0,4,1,3
739.png,0,4,3,3
2149.png,0,4,0,3
1326.png,1,3,0,3
1332.png,0,2,3,3
842.png,0,4,3,3
2607.png,0,4,3,3
2161.png,0,4,3,3
3294.png,0,1,1,0
2834.png,0,4,0,3
671.png,1,4,1,2
665.png,0,4,3,3
3280.png,0,4,0,3
1497.png,0,4,3,3
895.png,0,4,3,2
659.png,1,4,1,3
1124.png,1,4,3,3
1642.png,0,4,0,3
3055.png,0,4,3,3
3041.png,0,4,3,3
1656.png,1,4,0,3
1130.png,0,4,1,4
1118.png,0,4,3,3
2411.png,1,3,0,3
3069.png,0,4,3,4
2377.png,1,3,0,3
2363.png,1,3,1,3
498.png,1,2,0,3
473.png,1,4,0,3
2388.png,1,4,1,4
3096.png,1,5,0,3
1859.png,1,3,2,3
315.png,0,3,0,3
1681.png,1,3,0,3
3082.png,0,1,1,3
467.png,1,2,3,3
1865.png,1,3,0,3
329.png,0,3,0,3
3086.png,0,4,0,3
2398.png,1,4,1,3
305.png,0,4,3,2
1691.png,0,4,1,3
1849.png,1,4,3,3
1685.png,1,3,0,3
311.png,0,2,3,3
3092.png,1,4,1,3
339.png,0,5,1,2
1861.png,1,3,3,3
1134.png,0,4,0,3
1652.png,0,4,0,3
3045.png,0,3,2,3
3051.png,0,4,0,4
1646.png,1,6,0,3
1120.png,1,3,0,3
2401.png,0,2,1,3
2367.png,1,4,3,3
3079.png,0,4,3,3
2415.png,1,2,0,3
1493.png,0,4,3,3
3284.png,0,4,3,3
675.png,1,3,0,3
3290.png,0,4,1,3
1487.png,1,0,0,4
885.png,0,3,2,3
2818.png,0,4,1,3
649.png,1,4,0,3
3247.png,0,4,3,3
2159.png,0,2,0,3
1450.png,1,4,0,3
1322.png,0,4,0,2
1444.png,0,0,1,2
3253.png,0,4,0,3
2165.png,0,4,0,3
846.png,1,4,0,3
852.png,1,3,0,3
2171.png,0,3,3,3
701.png,1,4,1,3
1295.png,0,2,0,5
1524.png,0,4,0,3
1242.png,0,5,3,3
1530.png,1,4,0,2
2039.png,0,3,0,3
3327.png,0,2,1,5
932.png,0,3,0,3
926.png,0,6,0,3
517.png,0,4,3,0
1083.png,0,4,3,3
271.png,0,3,0,3
1929.png,1,4,0,3
265.png,1,4,0,3
1097.png,1,4,1,3
1901.png,1,3,2,3
1915.png,0,4,3,3
259.png,1,4,0,3
2549.png,0,4,3,3
1726.png,0,3,0,3
3131.png,0,4,3,3
3125.png,0,4,0,3
1054.png,0,2,1,3
2213.png,0,4,0,3
3119.png,0,3,3,3
2207.png,1,3,0,3
3118.png,0,4,0,4
1069.png,1,4,3,3
2560.png,0,4,2,3
2212.png,1,4,0,3
1733.png,0,4,3,3
3124.png,0,4,1,3
1041.png,0,2,0,2
2548.png,0,1,3,3
3130.png,0,4,3,3
258.png,0,4,0,3
1914.png,1,3,0,3
1900.png,0,4,0,3
264.png,1,2,0,2
1096.png,0,4,3,3
516.png,0,4,3,3
270.png,1,4,3,3
2762.png,0,4,3,3
927.png,0,4,3,3
2004.png,0,3,3,3
2010.png,1,1,3,3
1519.png,1,2,0,3
933.png,0,5,0,2
1257.png,1,4,3,3
2986.png,0,4,3,3
3326.png,0,4,3,3
2992.png,0,2,1,3
2945.png,0,4,3,3
1294.png,0,2,0,3
2789.png,0,4,0,3
853.png,1,4,1,3
2170.png,0,4,0,3
2164.png,0,3,1,4
1323.png,1,2,3,3
3252.png,0,4,1,4
1445.png,1,2,0,3
1451.png,0,2,3,3
2158.png,1,3,0,3
3246.png,0,4,0,3
1337.png,0,4,1,2
890.png,0,4,1,3
648.png,0,4,0,3
884.png,0,4,0,3
674.png,1,2,0,3
1486.png,0,4,1,3
3291.png,0,4,0,4
3285.png,1,1,0,3
106.png,0,4,0,3
1492.png,0,4,1,3
2825.png,0,4,2,3
2372.png,1,6,0,3
2400.png,0,2,2,3
1109.png,0,4,3,3
3078.png,0,0,1,4
2366.png,0,4,1,4
3050.png,0,4,1,3
1121.png,0,4,1,3
3044.png,0,5,3,3
1653.png,1,4,0,3
338.png,1,4,3,3
3093.png,0,4,2,4
310.png,0,3,1,3
1684.png,0,1,0,4
476.png,0,4,0,3
1690.png,1,7,0,5
304.png,0,4,3,3
2399.png,0,4,0,3
3087.png,0,4,0,3
474.png,0,3,3,3
1686.png,1,3,3,4
312.png,0,4,2,3
3091.png,0,4,0,3
3085.png,0,3,1,3
1692.png,0,5,1,2
448.png,0,3,4,3
1862.png,0,4,3,3
1876.png,0,4,0,3
1123.png,0,4,3,3
3052.png,0,4,1,3
1889.png,1,4,0,3
3046.png,0,4,0,2
2416.png,1,4,0,3
1679.png,0,3,0,3
2370.png,0,2,0,3
2364.png,1,4,0,5
2402.png,1,4,0,3
3293.png,1,3,2,3
1484.png,1,4,3,3
676.png,1,4,0,3
2199.png,0,4,3,3
3287.png,0,4,0,4
892.png,1,3,0,3
886.png,0,2,0,2
138.png,1,4,0,3
1447.png,1,4,0,3
3250.png,0,4,0,3
1321.png,0,4,3,4
879.png,1,4,0,3
3244.png,0,4,1,3
689.png,0,4,1,3
845.png,1,4,0,3
1309.png,0,1,0,3
3278.png,0,3,0,3
2947.png,0,4,1,3
1282.png,1,4,3,3
716.png,0,4,0,3
1533.png,0,2,1,4
3324.png,0,4,3,3
2984.png,0,4,0,3
1255.png,0,4,3,3
919.png,1,2,0,4
2006.png,0,4,0,4
3318.png,0,3,1,3
1269.png,0,5,1,2
931.png,1,4,0,3
2012.png,1,3,0,3
1094.png,1,3,0,3
266.png,1,4,0,3
272.png,0,1,2,3
1080.png,0,4,0,3
1916.png,1,3,1,3
1902.png,0,4,3,3
1057.png,0,4,1,3
3126.png,0,2,1,4
1731.png,1,4,3,3
3132.png,0,3,1,2
1043.png,0,4,3,3
2562.png,1,2,4,3
2204.png,1,4,3,3
2210.png,1,1,0,3
1719.png,0,4,3,3
2211.png,0,3,3,3
2577.png,1,4,3,3
2563.png,1,3,0,3
2205.png,0,4,1,5
3133.png,0,4,0,4
1724.png,0,5,0,4
1042.png,1,4,0,3
1056.png,1,4,0,3
1730.png,1,3,1,3
3127.png,0,4,3,3
1903.png,0,4,0,3
529.png,1,5,0,3
273.png,0,4,1,5
1081.png,1,4,0,3
515.png,1,3,0,3
930.png,1,4,0,3
2013.png,1,3,0,3
3319.png,0,3,0,3
924.png,1,4,0,3
1268.png,1,3,0,3
2991.png,0,1,0,2
1526.png,0,3,0,3
3325.png,0,4,1,4
1532.png,1,3,0,3
918.png,1,4,0,3
1254.png,1,0,1,3
717.png,0,4,3,5
1283.png,0,4,3,4
1297.png,0,4,0,3
703.png,1,4,0,3
1308.png,1,4,0,3
844.png,1,2,0,3
2601.png,0,5,3,4
2167.png,1,4,0,3
3279.png,0,4,0,3
2173.png,1,4,0,3
688.png,0,2,0,4
1334.png,0,4,2,3
878.png,0,2,0,2
1452.png,0,5,1,3
3245.png,0,4,3,3
3251.png,0,4,1,3
1446.png,1,3,0,3
1320.png,0,4,1,3
887.png,0,4,3,3
893.png,1,2,3,3
2826.png,0,4,1,3
3286.png,0,1,1,2
2198.png,1,2,0,3
1491.png,1,4,3,3
1485.png,1,4,2,3
111.png,0,4,3,3
3292.png,0,5,0,3
2832.png,0,0,1,3
2365.png,0,4,0,3
2417.png,1,4,0,3
2371.png,0,5,0,3
1678.png,0,4,1,3
3047.png,0,2,1,3
2359.png,0,4,0,3
1650.png,1,4,3,3
1888.png,1,3,0,3
1136.png,0,1,0,4
1122.png,1,4,0,3
1644.png,1,4,0,3
3053.png,1,4,1,3
1877.png,1,3,0,3
1863.png,1,3,0,3
1693.png,0,4,1,3
307.png,1,4,0,3
3084.png,0,4,3,3
461.png,1,1,0,3
475.png,1,4,0,3
3090.png,0,4,0,3
313.png,1,4,0,3
1687.png,1,4,1,3
1846.png,0,3,1,3
3089.png,0,4,3,3
